control,ano,kilogram,categoria,subcategoria,tipo_estilo,origem,classificacao,total
brancas_rosadas_tardiadecaxias,1973,0,Uvas Americanas e Híbridas,rosadas,,,,0
brancas_rosadas_outras,1973,0,Uvas Americanas e Híbridas,rosadas,,,,0
tintas,1974,295404693,Uvas Americanas e Híbridas,,,,,1
tintas_bacarina,1974,138158,Uvas Americanas e Híbridas,bacarina,,,,0
tintas_bailey,1974,0,Uvas Americanas e Híbridas,bailey,,,,0
tintas_bordo,1974,13341412,Uvas Americanas e Híbridas,bordo,,,,0
tintas_bourdin_s,1974,0,Uvas Americanas e Híbridas,bourdin,,,,0
tintas_brsem_classificacaoarmen,1974,0,Uvas Americanas e Híbridas,brsem,,brsem,,0
tintas_brsem_classificacaoora,1974,0,Uvas Americanas e Híbridas,brsem,,brsem,,0
tintas_brs_magna,1974,0,Uvas Americanas e Híbridas,brs,,brs,,0
tintas_brs_margot,1974,0,Uvas Americanas e Híbridas,brs,,brs,,0
tintas_brsmorena,1974,0,Uvas Americanas e Híbridas,brsmorena,,brsmorena,,0
tintas_brs_nubia,1974,0,Uvas Americanas e Híbridas,brs,,brs,,0
tintas_brs_rubea,1974,0,Uvas Americanas e Híbridas,brs,,brs,,0
tintas_brsvioleta,1974,0,Uvas Americanas e Híbridas,brsvioleta,,brsvioleta,,0
tintas_brs_vitoria,1974,0,Uvas Americanas e Híbridas,brs,,brs,,0
tintas_champagnon_champanheta,1974,0,Uvas Americanas e Híbridas,champagnon,,champagnon,,0
tintas_colecoes,1974,0,Uvas Americanas e Híbridas,colecoes,,,,0
tintas_concord,1974,5218933,Uvas Americanas e Híbridas,concord,,concord,,0
tintas_concordclone30,1974,0,Uvas Americanas e Híbridas,concordclone30,,concordclone30,,0
tintas_couderc,1974,5057735,Uvas Americanas e Híbridas,couderc,,,,0
tintas_cynthiana_1,1974,605039,Uvas Americanas e Híbridas,cynthiana,,,,0
tintas_herbemont,1974,65865189,Uvas Americanas e Híbridas,herbemont,,herbemont,,0
tintas_iac138022,1974,0,Uvas Americanas e Híbridas,iac138022,,iac138022,,0
tintas_isabel,1974,191946376,Uvas Americanas e Híbridas,isabel,,isabel,,0
tintas_isabelprecoce,1974,0,Uvas Americanas e Híbridas,isabelprecoce,,isabelprecoce,,0
tintas_jacquez,1974,847092,Uvas Americanas e Híbridas,jacquez,,,,0
tintas_kyoko,1974,0,Uvas Americanas e Híbridas,kyoko,,,,0
tintas_laot,1974,103456,Uvas Americanas e Híbridas,laot,,,,0
tintas_mistura_de_uvas_americanas_tinto,1974,0,Uvas Americanas e Híbridas,mistura,mistura_americanas_tinto,,,0
tintas_oberlin,1974,47350,Uvas Americanas e Híbridas,oberlin,,,,0
tintas_othello,1974,54730,Uvas Americanas e Híbridas,othello,,,,0
tintas_paco,1974,0,Uvas Americanas e Híbridas,paco,,,,0
tintas_patricia,1974,0,Uvas Americanas e Híbridas,patricia,,,,0
tintas_seibel,1974,12179223,Uvas Americanas e Híbridas,seibel,,,,0
tintas_seibel2_seibeleto,1974,0,Uvas Americanas e Híbridas,seibel2,,,,0
tintas_seyvewillard_tinta,1974,0,Uvas Americanas e Híbridas,seyvewillard,,,,0
tintas_vênus,1974,0,Uvas Americanas e Híbridas,vênus,,,,0
brancas_rosadas,1974,2865338,Uvas Americanas e Híbridas,rosadas,,,,1
brancas_rosadas_baco,1974,0,Uvas Americanas e Híbridas,rosadas,,,,0
brancas_rosadas_bokay,1974,0,Uvas Americanas e Híbridas,rosadas,,,,0
brancas_rosadas_brs_bibiana,1974,0,Uvas Americanas e Híbridas,rosadas,,brs,,0
brancas_rosadas_brsem_classificacaolara,1974,0,Uvas Americanas e Híbridas,rosadas,,brsem,,0
brancas_rosadas_brslorena,1974,0,Uvas Americanas e Híbridas,rosadas,,brslorena,,0
brancas_rosadas_couderc13,1974,0,Uvas Americanas e Híbridas,rosadas,,,,0
brancas_rosadas_delaware,1974,0,Uvas Americanas e Híbridas,rosadas,,,,0
brancas_rosadas_donazilla,1974,0,Uvas Americanas e Híbridas,rosadas,,,,0
brancas_rosadas_dutchess,1974,0,Uvas Americanas e Híbridas,rosadas,,,,0
brancas_rosadas_goethe,1974,371399,Uvas Americanas e Híbridas,rosadas,,goethe,,0
brancas_rosadas_iac,1974,0,Uvas Americanas e Híbridas,rosadas,,iac,,0
brancas_rosadas_juliana,1974,0,Uvas Americanas e Híbridas,rosadas,,,,0
brancas_rosadas_martha,1974,17486,Uvas Americanas e Híbridas,rosadas,,,,0
brancas_rosadas_mistura_de_uvas_americanas,1974,0,Uvas Americanas e Híbridas,rosadas,mistura_americanas,,,0
brancas_rosadas_mosem_classificacaoatoembrapa,1974,0,Uvas Americanas e Híbridas,rosadas,,,,0
brancas_rosadas_niagara,1974,2476453,Uvas Americanas e Híbridas,rosadas,,niagara,,0
brancas_rosadas_niagarabranca,1974,0,Uvas Americanas e Híbridas,rosadas,,niagarabranca,,0
brancas_rosadas_niagararosada,1974,0,Uvas Americanas e Híbridas,rosadas,,niagararosada,,0
brancas_rosadas_poloske,1974,0,Uvas Americanas e Híbridas,rosadas,,,,0
brancas_rosadas_selecoes,1974,0,Uvas Americanas e Híbridas,rosadas,,,,0
brancas_rosadas_seyvevillard,1974,0,Uvas Americanas e Híbridas,rosadas,,,,0
brancas_rosadas_seyvevillard5276,1974,0,Uvas Americanas e Híbridas,rosadas,,,,0
brancas_rosadas_seyvevillard12375,1974,0,Uvas Americanas e Híbridas,rosadas,,,,0
brancas_rosadas_tardiadecaxias,1974,0,Uvas Americanas e Híbridas,rosadas,,,,0
brancas_rosadas_outras,1974,0,Uvas Americanas e Híbridas,rosadas,,,,0
tintas,1975,282003228,Uvas Americanas e Híbridas,,,,,1
tintas_bacarina,1975,101454,Uvas Americanas e Híbridas,bacarina,,,,0
tintas_bailey,1975,0,Uvas Americanas e Híbridas,bailey,,,,0
tintas_bordo,1975,16023998,Uvas Americanas e Híbridas,bordo,,,,0
tintas_bourdin_s,1975,0,Uvas Americanas e Híbridas,bourdin,,,,0
