control,ano,kilogram,categoria,subcategoria,tipo_estilo,origem,classificacao,total
tintas,1986,7352.0,tintas,,,,,1
tintas_alphonse_lavallee,1986,5147.0,tintas,alphonse,,,,0
tintas_mosem_classificacaoato_de_hamburgo,1986,2205.0,tintas,mosem,,,,0
brancas,1986,32966.0,brancas,,,,,1
brancas_rosadas_cardinal,1986,0.0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_golden_queen,1986,3358.0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_patricia,1986,0.0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_perlona,1986,10753.0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_italia,1986,18855.0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_rubi_italia_italia_ro,1986,0.0,brancas_rosadas,rosadas,,,,0
tintas,1987,12670.0,tintas,,,,,1
tintas_alphonse_lavallee,1987,12670.0,tintas,alphonse,,,,0
tintas_mosem_classificacaoato_de_hamburgo,1987,0.0,tintas,mosem,,,,0
brancas,1987,70127.0,brancas,,,,,1
brancas_rosadas_cardinal,1987,0.0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_golden_queen,1987,1321.0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_patricia,1987,0.0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_perlona,1987,64694.0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_italia,1987,4112.0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_rubi_italia_italia_ro,1987,0.0,brancas_rosadas,rosadas,,,,0
tintas,1988,58681.0,tintas,,,,,1
tintas_alphonse_lavallee,1988,0.0,tintas,alphonse,,,,0
tintas_mosem_classificacaoato_de_hamburgo,1988,0.0,tintas,mosem,,,,0
brancas,1988,0.0,brancas,,,,,1
brancas_rosadas_cardinal,1988,0.0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_golden_queen,1988,0.0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_patricia,1988,0.0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_perlona,1988,0.0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_italia,1988,0.0,brancas_rosadas,rosadas,,,,0
brancas_rosadas_rubi_italia_italia_ro,1988,0.0,brancas_rosadas,rosadas,,,,0
tintas,1989,441541.0,tintas,,,,,1
